shortnam,africa,lat_abst,rich4,avexpr,logpgp95,logem4,asia,loghjypl,baseco,catho80,muslim80,no_cpm80,f_brit,f_french,sjlofr,avelf,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,drywint,edes1975,landlock,goldm,iron,silv,zinc,oilres,malfal94,yellow,leb95,imr95,meantemp,lt100km,latabs,euro1900,democ1,cons1,indtime,democ00a,cons00a,other,extmort4,mi_lat_abst,mi_avexpr,mi_logpgp95,mi_logem4,mi_loghjypl,mi_baseco,mi_catho80,mi_muslim80,mi_no_cpm80,mi_f_brit,mi_f_french,mi_sjlofr,mi_avelf,mi_temp1,mi_humid1,mi_steplow,mi_edes1975,mi_goldm,mi_oilres,mi_malfal94,mi_leb95,mi_imr95,mi_meantemp,mi_lt100km,mi_latabs,mi_euro1900,mi_democ1,mi_cons1,mi_indtime,mi_democ00a,mi_cons00a,mi_extmort4
AFG,0,.36666667,0,0,0,4.5400982,1,0,0,0,99.300003,.69999695,1,0,1,.44844118,10,14,40,-21,11,51,80,22,70,1,1,0,0,0,0,0,1,0,0,0,0,0,.0037200002,0,0,0,0,0,0,0,1,1,195,1,1,0,93.699997,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
AGO,1,.13666667,0,5.3636365,7.7706451,5.6347895,0,-3.4112477,1,68.699997,0,11.500004,0,0,1,.77275497,26,28,37,14,21,77,84,74,78,1,1,0,0,0,0,0,0,0,0,0,0,146000,.94999999,1,46.490002,125,22.94133,.118758,.136667,8,0,3,20,0,1,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,.26666668,0,7.181818,9.8042192,0,1,0,0,.40000001,94.900002,4.3999987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
ARG,0,.37777779,0,6.3863635,9.1334591,4.232656,0,-.8722738,1,91.599998,.2,5.5000014,0,0,1,.17693181,17,25,40,-6,6,81,92,60,79,1,0,0,1,0,0,90,0,0,0,0,0,46900,0,0,72.889999,21.799999,17.1,.123089,.37777799,60.000004,1,1,170,3,3,0,68.900002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM,0,.44444445,0,0,7.6824822,0,1,0,0,0,0,100,0,0,0,0,8,12,40,-27,10,62,91,36,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
AUS,0,.30000001,1,9.318182,9.8979721,2.1459312,0,-.17078833,1,29.6,.2,46.700001,1,0,0,.11279711,17,18,43,-10,3,56,85,35,64,1,1,0,0,0,0,99,0,3,16,9,12,99100,0,1,78.25,5.5999999,20.9,.19895799,.30000001,98,10,7,94,10,7,1,8.5500002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,0,.52444446,0,9.727273,9.9748774,0,0,-.34389976,0,88.800003,.60000002,4.099997,0,0,0,.033212252,8,13,38,-23,9,72,86,49,76,0,0,0,0,0,0,100,1,0,0,0,0,11900,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
AZE,0,.44777778,0,0,7.3065314,0,1,0,0,0,93.400002,6.5999985,0,0,0,0,14,12,40,-27,10,62,91,36,75,0,0,1,0,0,0,0,1,0,0,0,0,177000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
BDI,1,.036666665,0,0,6.5652652,5.6347895,0,-3.5065579,0,78.300003,.89999998,15.899997,0,0,1,.013333334,24,28,31,17,20,55,82,55,82,0,0,0,0,0,0,0,0,0,0,0,0,0,.94999999,1,0,0,0,0,0,0,3,5,34,0,1,0,280,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
BEL,0,.56111109,0,9.681818,9.9928713,0,0,-.17912664,0,90,1.1,8.5,0,0,1,.36383441,10,13,37,-17,6,87,94,65,86,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
BEN,1,.10333334,0,0,7.0900769,5.5854492,0,-2.8302178,0,18.5,15.2,63.5,0,1,1,.68311918,27,31,35,18,22,83,91,68,78,1,0,0,0,0,0,0,0,0,0,0,0,3930,.94999999,1,0,0,0,0,0,0,4,3,35,0,1,0,266.51999,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
BFA,1,.14444445,0,4.4545455,6.84588,5.6347895,0,-3.5404594,1,9,43,46.400002,0,1,1,.54671812,29,38,48,9,19,38,81,19,67,1,0,0,0,0,0,0,1,0,0,0,0,0,.94999999,1,44.389999,98.800003,28.1,0,.144444,0,0,3,35,0,1,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,0,.26666668,0,5.1363635,6.877296,4.2684379,1,-2.0635681,1,.2,85.900002,13.699999,1,0,0,0,25,29,42,7,24,37,74,37,74,0,0,0,0,0,0,0,0,0,0,0,0,0,.12008,1,58.130001,78.800003,25.686211,.40159801,.26666701,0,8,7,23,0,1,0,71.410004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGR,0,.47777778,0,8.909091,8.4574432,0,0,0,0,.5,10.6,88.5,0,0,0,.11574074,9,16,37,-21,8,71,90,46,78,0,0,0,0,0,0,100,0,0,0,0,0,34,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
BHR,0,.2888889,0,8,9.6859531,0,1,0,0,.80000001,95,3.3,1,0,0,0,25,29,45,5,24,69,85,63,77,0,1,0,0,0,0,0,0,0,0,0,0,131000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
BHS,0,.26833332,0,7.5,9.2854481,4.4426513,0,0,1,25.5,0,27.300003,1,0,0,0,25,29,34,5,19,79,84,62,73,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0
BIH,0,.48888889,0,0,0,0,0,0,0,15,40,41,0,0,0,0,10,20,41,-22,7,70,93,40,77,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
BLR,0,.58888888,0,0,8.340456,0,0,0,0,14,0,86,0,0,0,0,4,2,32,-32,5,58,87,43,83,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
BLZ,0,.19055556,0,0,8.3779316,5.0955892,0,0,0,66.800003,0,19.999996,1,0,0,.40909091,26,32,36,9,18,90,94,86,91,0,0,0,0,0,0,20,0,0,0,0,0,0,.012479999,1,0,0,0,0,0,20,0,0,0,0,1,0,163.3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0
BOL,0,.18888889,0,5.6363635,7.9266024,4.2626801,0,-1.9661129,1,92.5,0,5.1999998,0,0,1,.59941179,12,21,27,-3,2,77,93,49,74,0,0,0,0,0,0,30.000002,1,0,0,0,0,14300,.00165,1,61.389999,65.599998,21.5,0,.188889,30.000002,1,3,170,4,3,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,0,.11111111,0,7.909091,8.7274542,4.2626801,0,-1.1425642,1,87.800003,.1,8.0999966,0,0,1,.055780932,25,32,39,10,18,82,87,68,74,1,0,0,0,0,0,55,0,2,.1,0,1,19400,.035999998,1,66.779999,42.400002,23.700001,.092515998,.111111,40,1,1,171,1,3,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRB,0,.14555556,0,0,9.2667208,4.4426513,0,-.90634036,0,5.9000001,.2,60.700001,1,0,0,.07333333,26,31,33,16,21,67,79,64,78,0,0,0,0,0,0,20,0,0,0,0,0,21000,0,1,0,0,0,0,0,20,0,0,0,0,1,0,85,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0
BTN,0,.30333331,0,0,0,0,0,0,0,0,5,95,1,0,0,.4375,17,24,36,-2,18,68,90,53,84,0,0,0,0,0,0,0,1,0,0,0,0,0,.41799998,0,0,0,0,0,0,0,0,1,88,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
BWA,1,.24444444,0,7.7272725,8.855093,0,0,-2.3644605,0,9.3999996,0,63.799999,1,0,0,.3775,20,31,42,-4,10,55,74,55,74,1,0,0,0,0,0,0,1,0,0,0,0,0,.30399999,1,0,0,0,0,0,0,10,7,29,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
CAF,1,.077777781,0,0,7.192934,5.6347895,0,-3.4112477,0,33.099998,3.2,13.700002,0,1,1,.78555554,27,34,38,14,18,90,96,49,72,0,0,0,0,0,0,0,1,0,0,0,0,0,.94999999,1,0,0,0,0,0,0,0,1,35,0,1,0,280,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
CAN,0,.66666669,1,9.727273,9.9864492,2.7788193,0,-.060812157,1,46.599998,.60000002,23.200001,1,0,0,.37618759,4,12,39,-37,3,76,90,40,76,0,0,1,0,0,0,98,0,4,7,13,15,185000,0,0,78.980003,6,-.2,.021164,.66666698,99,7,7,128,9,7,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,0,.52222222,0,10,10.120211,0,0,-.13467489,0,52.799999,.30000001,3.7,0,0,0,.30759802,9,15,38,-23,7,80,92,51,76,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
CHL,0,.33333334,0,7.818182,9.336092,4.232656,0,-1.3356012,1,82.099998,0,16.000002,0,0,1,.050625,17,27,37,-4,6,70,93,38,64,1,1,0,0,0,0,50,0,0,0,0,0,21700,0,0,74.940002,12.8,13.4,.660182,.33333299,50,1,1,177,5,7,0,68.900002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,0,.3888889,0,7.7727275,7.8860812,4.7706847,1,-2.8134108,0,0,2.4000001,97.599998,0,0,0,.23332645,11,13,43,-23,15,46,74,46,74,0,0,1,1,0,0,0,0,0,5,0,3,19800,.0138,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0
CIV,1,.088888891,0,7,7.4442487,6.5042882,0,-2.3330443,1,18.5,24,52.799999,0,1,1,.85652989,26,31,36,15,20,93,96,71,82,0,0,0,0,0,0,0,0,0,0,0,0,7460,.94999999,1,46.720001,87.300003,26.0907,.171056,.088889003,0,0,1,35,0,1,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMR,1,.06666667,0,6.4545455,7.5010819,5.6347895,0,-2.5770221,1,35,22,24.9,0,0,1,.85204548,25,31,36,14,17,97,98,62,75,0,0,0,0,0,0,0,0,0,0,0,0,31900,.94999999,1,54.73,74.400002,24.433331,.098240003,.066666998,0,0,3,35,0,1,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG,1,.011111111,0,4.681818,7.420579,5.480639,0,-2.1037343,1,53.900002,.40000001,20.799999,0,1,1,.66927534,25,32,37,12,19,77,89,54,71,0,0,0,0,0,0,0,0,0,0,0,0,338000,.94999999,1,48.549999,89.5,24.751511,.047892999,.011111,0,5,4,35,0,1,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,0,.044444446,0,7.318182,8.8098631,4.2626801,0,-1.3318062,1,96.599998,.2,2.3000016,0,0,1,.05579602,14,22,24,4,7,82,88,51,64,0,0,0,0,0,0,25,0,0,0,0,0,57,.14637001,1,70.43,30,22.5,.159722,.044443998,20,4,3,163,3,5,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM,1,.13444445,0,0,7.3839893,0,0,-3.3524072,0,.1,99.699997,.10000305,0,1,1,1,26,30,33,19,22,74,79,74,78,0,0,0,0,0,0,5,0,0,0,0,0,0,.94999999,1,0,0,0,0,0,5,5,5,20,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
CPV,1,.17777778,0,0,7.9793391,0,0,-2.5770221,0,95.900002,0,1.0999985,0,0,1,.375,25,30,34,13,22,58,74,54,73,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
CRI,0,.11111111,0,7.0454545,8.7948246,4.3579903,0,-1.3586792,1,90.5,0,3.6999998,0,0,1,.053214286,21,29,33,9,14,80,92,55,78,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,76.029999,12.1,25.1,1,.111111,20,0,3,157,10,7,0,78.099998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZE,0,.54944444,0,8.863636,9.2043219,0,0,-1.5558971,0,39.200001,0,56.200001,0,0,0,0,5,13,38,-28,6,74,87,45,78,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
DEU,0,.56666666,0,0,9.9354706,0,0,-.20089293,0,35,.02,18.579998,0,0,0,.0437553,8,14,38,-24,8,78,91,50,81,0,0,0,0,0,0,100,0,0,0,0,0,5580,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
DJI,1,.12555556,0,0,0,3.2580965,0,0,0,6.6999998,90.599998,2.5000017,0,1,1,.71428573,32,34,47,17,23,57,84,43,74,1,0,0,0,0,0,0,0,0,0,0,0,0,.94999999,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0
DNK,0,.62222224,0,9.727273,10.005592,0,0,-.37106368,0,.60000002,.2,4.0000029,0,0,0,.0275,8,10,33,-24,8,70,89,59,87,0,0,0,0,0,0,100,0,0,0,0,0,141000,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
DOM,0,.21111111,0,6.181818,8.3640423,4.8675346,0,-1.5798792,1,96.599998,0,2.0000014,0,1,1,.010830564,26,33,37,15,20,88,92,58,66,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,70.610001,33.599998,25.6,1,.21111099,25,1,3,151,1,3,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZA,1,.31111112,0,6.5,8.3893595,4.3592696,0,-1.1147417,1,.5,99.099998,.40000153,0,1,1,.29372403,21,24,42,0,1,67,75,57,66,0,1,0,0,0,0,0,0,0,0,0,0,339000,0,0,68.889999,43.799999,19.299999,.047185998,.311111,13,0,2,33,0,1,0,78.199997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECU,0,.022222223,0,6.5454545,8.4701014,4.2626801,0,-1.4396951,1,96.400002,0,1.6999985,0,0,1,.32535714,15,26,30,0,4,80,94,40,60,0,0,1,0,0,0,30.000002,0,0,0,0,0,141,.11894999,0,69.519997,45.599998,19.1,.368411,.022221999,30.000002,1,3,165,1,3,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,1,.30000001,0,6.7727275,7.9515595,4.2165623,0,-1.6766466,1,.2,81.800003,17.799997,1,0,1,.023061818,24,31,47,1,17,50,70,18,41,0,1,0,0,0,0,0,0,0,0,0,0,111000,0,0,66.269997,50.5,22.6,.239163,.30000001,0,0,1,184,7,7,0,67.800003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERI,1,.16666667,0,0,6.6200733,0,0,0,0,0,33,0,0,0,1,0,31,33,44,17,23,56,83,44,74,0,0,0,0,0,0,0,0,0,0,0,0,0,.73149997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
ESP,0,.44444445,0,9.681818,9.6184683,0,0,-.38272566,0,96.900002,0,2.9999986,0,0,1,.27451614,15,16,39,-10,8,58,86,33,71,0,0,0,0,0,0,100,0,0,0,0,3,575,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
EST,0,.65555555,0,0,8.3938951,0,0,0,0,2,.0099999998,31.99,0,0,0,0,5,7,33,-33,5,70,91,58,89,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
ETH,1,.088888891,0,5.7272725,6.1092477,3.2580965,0,0,1,.69999999,31.4,64.099998,0,0,1,.67708248,17,27,34,0,7,56,86,33,73,0,0,0,0,0,0,0,0,0,0,0,0,0,.551,1,43.32,116,0,.021018,.088889003,0,0,1,49,5,7,0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FIN,0,.71111113,0,9.727273,9.826066,0,0,-.30924621,0,.1,0,6.8000016,0,0,0,.105,5,7,33,-33,5,70,91,58,89,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
FJI,0,.2,0,0,8.3015213,2.4336133,0,-1.2982835,0,9,7.8000002,44.100002,1,0,0,.80000001,25,32,37,13,19,76,82,73,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,25,0,1,1,11.4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
FRA,0,.51111114,0,9.727273,9.9636412,1.0577903,0,-.20089293,0,76.400002,3,18.199999,0,0,1,.14548394,13,15,40,-15,9,82,91,54,82,0,0,0,0,0,0,100,0,0,1,0,0,3090,0,0,0,0,0,0,0,100,0,0,0,0,0,0,2.8800001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0
